cluster,,城市
12,乌鲁木齐,
12,哈尔滨,
13,重庆,50 (3.2%)
13,杭州,40 (2.6%)
13,南京,
13,郑州,35 (2.2%)
13,深圳,
13,宁波,
13,上海,
13,石家庄,
13,苏州,
13,合肥,
13,贵阳,
13,武汉,38 (2.4%)
13,昆明,
13,北京,53 (3.4%)
13,无锡,
13,天津,35 (2.2%)
13,济南,
13,成都,235 (15.0%)
13,西安,41 (2.6%)
13,长沙,
13,衡水,
13,沈阳,
13,鞍山,
13,青岛,
13,台州,
13,佛山,
13,广州,
13,常州,
13,保定,
13,烟台,
13,东莞,
13,乌鲁木齐,34 (2.2%)
13,哈尔滨,34 (2.2%)
