车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
哈弗H6,绥化,11,SUV,9.89-14.69,燃油车,12.29,0
宋PLUS新能源,阿拉善盟,12,SUV,13.58-18.08,新能源,15.829999999999998,1
凯美瑞,驻马店,21,中型车,17.18-25.98,燃油车,21.58,0
哈弗枭龙MAX,鹤壁,11,SUV,13.18-17.98,燃油车,15.58,0
极狐 阿尔法T5(ARCFOX αT5),珠海,11,SUV,11.98-19.98,燃油车,15.98,0
朗逸,威海,78,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
悦意03,沈阳,32,SUV,7.98-12.29,燃油车,10.135,0
AION UT,漯河,18,小型车,6.98-10.18,新能源,8.58,1
卡罗拉锐放,临沧,21,SUV,12.98-18.48,燃油车,15.73,0
宝马X5,广州,145,SUV,61.50-83.00,燃油车,72.25,0
帕萨特,盘锦,31,中型车,16.45-23.99,燃油车,20.22,0
沃尔沃XC60,沧州,25,SUV,39.69-47.49,燃油车,43.59,0
艾瑞泽8,绍兴,38,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
星愿,张家界,19,小型车,6.88-9.78,燃油车,8.33,0
雷克萨斯RX,茂名,12,SUV,38.00-61.90,燃油车,49.95,0
奥迪Q5L,烟台,65,SUV,34.98-48.88,燃油车,41.93,0
雷克萨斯NX,南京,30,SUV,31.88-54.88,燃油车,43.38,0
银河星舰7 EM-i,郴州,15,SUV,10.38-13.68,燃油车,12.030000000000001,0
五菱宏光S3,红河,29,SUV,5.98-8.28,燃油车,7.13,0
零跑C11,日照,14,SUV,14.88-20.98,新能源,17.93,1
本田CR-V,焦作,30,SUV,18.59-26.39,燃油车,22.490000000000002,0
捷途旅行者,庆阳,11,SUV,13.99-23.99,燃油车,18.99,0
问界M5,济南,55,SUV,22.98-27.98,新能源,25.48,1
元PLUS,运城,77,SUV,11.58-14.78,新能源,13.18,1
博越,西安,81,SUV,9.28-12.58,燃油车,10.93,0
宋L DM-i,玉林,25,SUV,13.58-17.58,新能源,15.579999999999998,1
皇冠陆放,兰州,50,SUV,27.78-35.28,燃油车,31.53,0
银河星耀8,银川,46,中大型车,12.58-16.58,燃油车,14.579999999999998,0
卡罗拉锐放,舟山,11,SUV,12.98-18.48,燃油车,15.73,0
揽胜,潍坊,12,SUV,141.20-379.50,燃油车,260.35,0
雷克萨斯NX,台州,16,SUV,31.88-54.88,燃油车,43.38,0
领克03,武汉,109,紧凑型车,12.78-42.03,燃油车,27.405,0
索纳塔,邢台,13,中型车,13.98-20.58,燃油车,17.28,0
享界S9,深圳,129,中大型车,30.98-44.98,新能源,37.98,1
捷达VS7,宁波,13,SUV,10.79-14.39,燃油车,12.59,0
瑞虎8,运城,12,SUV,9.78-16.19,燃油车,12.985,0
海狮05 EV,上饶,29,SUV,11.78-13.78,新能源,12.78,1
元UP,眉山,11,SUV,9.68-11.98,新能源,10.83,1
卡罗拉锐放,淄博,74,SUV,12.98-18.48,燃油车,15.73,0
卡罗拉锐放,庆阳,26,SUV,12.98-18.48,燃油车,15.73,0
领克Z20,大连,11,SUV,13.89-15.39,燃油车,14.64,0
威朗,合肥,14,紧凑型车,12.89-15.89,燃油车,14.39,0
宝马5系,包头,17,中大型车,43.99-52.59,燃油车,48.290000000000006,0
MINI,合肥,25,小型车,23.38-31.98,燃油车,27.68,0
奔腾B70,南宁,15,中型车,9.88-14.49,燃油车,12.185,0
雷凌,深圳,40,紧凑型车,11.38-14.88,燃油车,13.13,0
沃尔沃XC60插电式混动,济南,22,SUV,52.39-60.39,新能源,56.39,1
五菱缤果,拉萨,13,小型车,5.68-8.88,燃油车,7.28,0
AION S,安庆,15,紧凑型车,13.98-17.98,新能源,15.98,1
海豹06新能源,威海,31,中型车,9.98-13.98,新能源,11.98,1
智界R7,绵阳,14,SUV,24.98-33.98,新能源,29.479999999999997,1
悦意03,长治,14,SUV,7.98-12.29,燃油车,10.135,0
风云T9,晋中,16,SUV,12.99-19.39,燃油车,16.19,0
海豚,岳阳,17,小型车,9.98-12.98,新能源,11.48,1
捷达VA7,乌鲁木齐,12,紧凑型车,9.98-12.98,燃油车,11.48,0
捷途X90,盐城,11,SUV,13.99-17.29,燃油车,15.64,0
元UP,娄底,17,SUV,9.68-11.98,新能源,10.83,1
红旗HS5,娄底,14,SUV,18.38-24.98,燃油车,21.68,0
Panamera,重庆,23,大型车,99.80-247.60,燃油车,173.7,0
欧萌达,榆林,11,SUV,10.99-12.99,燃油车,11.99,0
奔腾B70,辽源,13,中型车,9.88-14.49,燃油车,12.185,0
揽胜运动版,深圳,25,SUV,95.00-243.80,燃油车,169.4,0
奔驰G级AMG,苏州,11,SUV,255.40-292.00,燃油车,273.7,0
传祺M8,亳州,14,MPV,17.98-34.28,燃油车,26.130000000000003,0
哈弗枭龙MAX,贵阳,22,SUV,13.18-17.98,燃油车,15.58,0
奔驰E级,泸州,20,中大型车,44.72-59.98,燃油车,52.349999999999994,0
元UP,长春,12,SUV,9.68-11.98,新能源,10.83,1
五菱缤果,张家口,15,小型车,5.68-8.88,燃油车,7.28,0
奔驰C级,镇江,42,中型车,33.48-38.06,燃油车,35.769999999999996,0
威兰达,玉溪,18,SUV,17.38-26.48,燃油车,21.93,0
秦PLUS,平凉,17,紧凑型车,7.98-17.98,新能源,12.98,1
传祺M8,长沙,35,MPV,17.98-34.28,燃油车,26.130000000000003,0
AION S,佛山,266,紧凑型车,13.98-17.98,新能源,15.98,1
银河星耀8,韶关,12,中大型车,12.58-16.58,燃油车,14.579999999999998,0
威兰达,永州,23,SUV,17.38-26.48,燃油车,21.93,0
五菱佳辰,邯郸,16,MPV,6.88-11.58,燃油车,9.23,0
零跑T03,新乡,66,微型车,4.99-6.99,新能源,5.99,1
元PLUS,渭南,22,SUV,11.58-14.78,新能源,13.18,1
五菱缤果,东莞,44,小型车,5.68-8.88,燃油车,7.28,0
皓极,武汉,70,SUV,12.69-14.69,燃油车,13.69,0
捷达VS5,怀化,14,SUV,8.79-12.19,燃油车,10.489999999999998,0
极氪007GT,潍坊,17,中型车,20.29-26.29,新能源,23.29,1
长安CS75,天津,13,SUV,10.29-11.99,燃油车,11.14,0
帕萨特,株洲,30,中型车,16.45-23.99,燃油车,20.22,0
探岳,宜春,30,SUV,19.89-25.99,燃油车,22.939999999999998,0
宋L DM-i,洛阳,111,SUV,13.58-17.58,新能源,15.579999999999998,1
零跑C16,玉林,13,SUV,15.18-18.98,新能源,17.08,1
朗逸,保山,38,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
帕萨特,邵阳,27,中型车,16.45-23.99,燃油车,20.22,0
海鸥,抚顺,11,小型车,6.98-8.58,新能源,7.78,1
哈弗枭龙MAX,开封,18,SUV,13.18-17.98,燃油车,15.58,0
缤越,枣庄,14,SUV,6.68-10.38,燃油车,8.530000000000001,0
五菱宏光V,上饶,11,MPV,4.31-5.45,燃油车,4.88,0
瑞虎8 PRO,松原,17,SUV,11.99-16.69,燃油车,14.34,0
宝骏享境,重庆,11,中大型车,12.98-15.38,燃油车,14.18,0
皇冠陆放,伊犁,23,SUV,27.78-35.28,燃油车,31.53,0
零跑B10,福州,24,SUV,9.98-14.98,新能源,12.48,1
锐界,乌鲁木齐,52,SUV,22.68-30.98,燃油车,26.83,0
极氪001,银川,16,中大型车,25.90-32.90,新能源,29.4,1
哈弗大狗,深圳,32,SUV,11.99-16.79,燃油车,14.39,0
理想L7,延安,23,SUV,30.18-35.98,新能源,33.08,1
问界M7,自贡,12,SUV,24.98-32.98,新能源,28.979999999999997,1
宝马X3,株洲,16,SUV,34.99-48.69,燃油车,41.84,0
汉,九江,20,中大型车,16.58-25.98,新能源,21.28,1
威兰达,哈密,12,SUV,17.38-26.48,燃油车,21.93,0
宝马X5,济宁,29,SUV,61.50-83.00,燃油车,72.25,0
途岳,乌兰察布,12,SUV,12.59-21.66,燃油车,17.125,0
朗逸,喀什,15,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
别克GL8,绍兴,16,MPV,23.29-47.39,燃油车,35.34,0
理想L9,温州,39,SUV,40.98-43.98,新能源,42.48,1
日产N7,宜昌,26,中大型车,11.99-14.99,燃油车,13.49,0
海豹06新能源,黔南,26,中型车,9.98-13.98,新能源,11.98,1
捷途山海L7,乌鲁木齐,13,SUV,12.98-22.78,燃油车,17.880000000000003,0
星途凌云,太原,14,SUV,12.99-18.99,燃油车,15.989999999999998,0
博越,上海,23,SUV,9.28-12.58,燃油车,10.93,0
Model Y,柳州,12,SUV,26.35-31.35,新能源,28.85,1
红旗HS5,无锡,57,SUV,18.38-24.98,燃油车,21.68,0
Cayenne,济南,19,SUV,91.80-250.80,燃油车,171.3,0
宋L DM-i,福州,87,SUV,13.58-17.58,新能源,15.579999999999998,1
帕萨特,和田,12,中型车,16.45-23.99,燃油车,20.22,0
博越L,合肥,116,SUV,9.99-14.97,燃油车,12.48,0
探岳,黄石,19,SUV,19.89-25.99,燃油车,22.939999999999998,0
宝马X3,烟台,22,SUV,34.99-48.69,燃油车,41.84,0
宋PLUS新能源,西双版纳,13,SUV,13.58-18.08,新能源,15.829999999999998,1
秦PLUS,德阳,23,紧凑型车,7.98-17.98,新能源,12.98,1
雅阁,淄博,30,中型车,17.98-23.88,燃油车,20.93,0
T-ROC探歌,沈阳,35,SUV,15.89-17.87,燃油车,16.880000000000003,0
北京越野BJ40增程,常德,13,SUV,17.98-29.98,新能源,23.98,1
海豚,许昌,66,小型车,9.98-12.98,新能源,11.48,1
奔腾小马,鸡西,26,微型车,2.49-5.39,燃油车,3.94,0
星愿,武威,37,小型车,6.88-9.78,燃油车,8.33,0
海豹06新能源,常德,31,中型车,9.98-13.98,新能源,11.98,1
Panamera,佛山,20,大型车,99.80-247.60,燃油车,173.7,0
沃尔沃XC60,昆明,89,SUV,39.69-47.49,燃油车,43.59,0
问界M9,贵阳,116,SUV,46.98-56.98,新能源,51.98,1
哈弗猛龙新能源,张家口,12,SUV,16.58-19.28,新能源,17.93,1
奔驰E级,赣州,37,中大型车,44.72-59.98,燃油车,52.349999999999994,0
蔚来ES6,南宁,21,SUV,33.80-39.60,新能源,36.7,1
别克GL8新能源,新乡,27,MPV,24.99-41.99,新能源,33.49,1
海狮05 EV,长沙,188,SUV,11.78-13.78,新能源,12.78,1
君越,邢台,39,中型车,17.99-23.99,燃油车,20.99,0
极石01,厦门,48,SUV,29.99-35.99,燃油车,32.99,0
乐道L60,蚌埠,12,SUV,20.69-25.59,燃油车,23.14,0
T-ROC探歌,烟台,28,SUV,15.89-17.87,燃油车,16.880000000000003,0
深蓝S05,连云港,45,SUV,11.99-14.99,新能源,13.49,1
享界S9,杭州,78,中大型车,30.98-44.98,新能源,37.98,1
铂智3X,江门,30,SUV,10.98-15.98,燃油车,13.48,0
海豚,绍兴,64,小型车,9.98-12.98,新能源,11.48,1
元PLUS,三门峡,17,SUV,11.58-14.78,新能源,13.18,1
星瑞,伊犁,19,紧凑型车,9.97-14.57,燃油车,12.27,0
蔚来ET5,上海,224,中型车,29.80-35.60,新能源,32.7,1
皇冠陆放,呼和浩特,47,SUV,27.78-35.28,燃油车,31.53,0
Model 3,绵阳,40,中型车,23.19-33.95,新能源,28.57,1
宏光MINIEV,驻马店,363,微型车,3.28-9.99,新能源,6.635,1
海豹06新能源,乌鲁木齐,180,中型车,9.98-13.98,新能源,11.98,1
长安CS75 PLUS,昭通,11,SUV,11.39-14.99,燃油车,13.190000000000001,0
凯迪拉克CT5,宁波,64,中型车,28.99-34.59,燃油车,31.79,0
欧萌达,徐州,13,SUV,10.99-12.99,燃油车,11.99,0
奔驰S级,泉州,12,大型车,96.26-204.26,燃油车,150.26,0
艾瑞泽8,延边,13,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
锐界,嘉峪关,17,SUV,22.68-30.98,燃油车,26.83,0
银河E5,抚州,13,SUV,11.28-14.88,燃油车,13.08,0
唐新能源,宿迁,15,SUV,17.98-26.98,新能源,22.48,1
保时捷911,杭州,16,跑车,129.80-301.00,燃油车,215.4,0
宝马3系,广安,19,中型车,29.99-39.99,燃油车,34.99,0
五菱宏光PLUS,乌鲁木齐,14,MPV,5.88-7.98,燃油车,6.93,0
AION Y,烟台,29,SUV,9.98-14.58,新能源,12.280000000000001,1
五菱缤果,广安,13,小型车,5.68-8.88,燃油车,7.28,0
零跑C10,邯郸,36,SUV,12.28-16.88,新能源,14.579999999999998,1
帕萨特,芜湖,25,中型车,16.45-23.99,燃油车,20.22,0
星瑞,哈尔滨,63,紧凑型车,9.97-14.57,燃油车,12.27,0
红旗HS3,廊坊,17,SUV,14.58-19.58,燃油车,17.08,0
宋PLUS新能源,铜陵,18,SUV,13.58-18.08,新能源,15.829999999999998,1
零跑C01,广州,20,中大型车,13.68-20.88,新能源,17.28,1
传祺GS8,金华,15,SUV,15.98-24.68,燃油车,20.33,0
奕炫,赣州,15,紧凑型车,6.49-10.68,燃油车,8.585,0
秦PLUS,衡水,95,紧凑型车,7.98-17.98,新能源,12.98,1
昂科威Plus,锡林郭勒,18,SUV,22.99-25.99,燃油车,24.49,0
银河星舰7 EM-i,恩施,23,SUV,10.38-13.68,燃油车,12.030000000000001,0
领克07 EM-P,乌鲁木齐,30,中型车,16.98-18.98,燃油车,17.98,0
红旗HS5,揭阳,23,SUV,18.38-24.98,燃油车,21.68,0
宝马X3,天津,47,SUV,34.99-48.69,燃油车,41.84,0
海豹05 DM-i,商丘,17,紧凑型车,7.98-10.38,新能源,9.18,1
探岳,枣庄,25,SUV,19.89-25.99,燃油车,22.939999999999998,0
瑞虎8L,台州,32,SUV,12.99-17.49,燃油车,15.239999999999998,0
蓝电E5,济宁,12,SUV,9.98-15.39,燃油车,12.685,0
博越,丽水,14,SUV,9.28-12.58,燃油车,10.93,0
奔驰E级,石家庄,138,中大型车,44.72-59.98,燃油车,52.349999999999994,0
海狮05 DM-i,呼和浩特,19,SUV,10.28-14.28,新能源,12.28,1
问界M9,运城,23,SUV,46.98-56.98,新能源,51.98,1
元UP,秦皇岛,25,SUV,9.68-11.98,新能源,10.83,1
星纪元 ES,北京,18,中大型车,15.28-29.99,新能源,22.634999999999998,1
五菱宏光V,合肥,68,MPV,4.31-5.45,燃油车,4.88,0
哈弗二代大狗,包头,15,SUV,13.58-15.68,燃油车,14.629999999999999,0
沃尔沃S90,北京,60,中大型车,40.69-50.59,燃油车,45.64,0
海狮05 DM-i,鞍山,15,SUV,10.28-14.28,新能源,12.28,1
轩逸,宿州,29,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
揽境,哈尔滨,15,SUV,26.19-36.19,燃油车,31.189999999999998,0
阿维塔07,重庆,382,SUV,21.99-28.99,新能源,25.49,1
威兰达,新余,18,SUV,17.38-26.48,燃油车,21.93,0
星越L,西安,413,SUV,13.72-17.97,燃油车,15.844999999999999,0
荣威i6 MAX新能源,福州,26,紧凑型车,15.28-25.98,新能源,20.63,1
T-ROC探歌,曲靖,13,SUV,15.89-17.87,燃油车,16.880000000000003,0
唐新能源,常州,12,SUV,17.98-26.98,新能源,22.48,1
AION Y,宿迁,44,SUV,9.98-14.58,新能源,12.280000000000001,1
瑞虎7,常州,11,SUV,7.49-13.99,燃油车,10.74,0
极狐 阿尔法S5,绍兴,12,中型车,12.78-18.48,燃油车,15.629999999999999,0
奇瑞iCAR V23,洛阳,35,SUV,9.98-14.98,燃油车,12.48,0
极狐 阿尔法T5(ARCFOX αT5),贵阳,12,SUV,11.98-19.98,燃油车,15.98,0
星瑞,合肥,205,紧凑型车,9.97-14.57,燃油车,12.27,0
博越,上饶,17,SUV,9.28-12.58,燃油车,10.93,0
长安UNI-V,济宁,28,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
豹5,合肥,60,SUV,23.98-32.98,燃油车,28.479999999999997,0
长安UNI-Z新能源,成都,44,SUV,11.79-13.39,新能源,12.59,1
智己L6,西安,17,中大型车,21.99-34.59,燃油车,28.29,0
皓影,长春,136,SUV,18.59-26.39,燃油车,22.490000000000002,0
理想L9,东莞,57,SUV,40.98-43.98,新能源,42.48,1
小鹏G6,马鞍山,21,SUV,17.68-27.69,新能源,22.685000000000002,1
雅阁,辽阳,23,中型车,17.98-23.88,燃油车,20.93,0
奥迪A3,沈阳,58,紧凑型车,16.59-25.13,燃油车,20.86,0
别克GL8,大庆,22,MPV,23.29-47.39,燃油车,35.34,0
秦L,庆阳,27,中型车,9.98-15.38,新能源,12.68,1
