车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
途岳,保定,82,SUV,12.59-21.66,燃油车,17.125,0
魏牌 高山,中山,11,MPV,30.98-40.58,燃油车,35.78,0
AION S,深圳,397,紧凑型车,13.98-17.98,新能源,15.98,1
五菱缤果,湖州,51,小型车,5.68-8.88,燃油车,7.28,0
海鸥,宁德,20,小型车,6.98-8.58,新能源,7.78,1
哈弗大狗,张家口,35,SUV,11.99-16.79,燃油车,14.39,0
瑞虎7,成都,37,SUV,7.49-13.99,燃油车,10.74,0
五菱宏光新能源,安阳,12,MPV,6.88-7.38,新能源,7.13,1
菱智,南通,20,MPV,5.99-9.99,燃油车,7.99,0
小蚂蚁,济南,25,微型车,5.49-7.69,燃油车,6.59,0
AION RT,湖州,22,紧凑型车,11.98-16.58,新能源,14.28,1
零跑C16,东莞,67,SUV,15.18-18.98,新能源,17.08,1
轩逸,珠海,90,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
凯迪拉克CT5,佛山,38,中型车,28.99-34.59,燃油车,31.79,0
雷克萨斯ES,湖州,48,中大型车,29.69-48.89,燃油车,39.29,0
秦L,牡丹江,30,中型车,9.98-15.38,新能源,12.68,1
小鹏P7+,泸州,12,中大型车,18.68-20.88,新能源,19.78,1
雷凌,长沙,17,紧凑型车,11.38-14.88,燃油车,13.13,0
领克900,西宁,17,SUV,30.99-41.69,燃油车,36.339999999999996,0
传祺GS4,张家口,17,SUV,11.58-12.68,燃油车,12.129999999999999,0
深蓝S07,南昌,37,SUV,14.99-20.79,新能源,17.89,1
奔驰E级,柳州,11,中大型车,44.72-59.98,燃油车,52.349999999999994,0
荣威RX5,朔州,13,SUV,9.99-15.59,燃油车,12.79,0
艾瑞泽8,郴州,40,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
马自达CX-5,柳州,15,SUV,12.58-19.78,燃油车,16.18,0
别克GL8新能源,通辽,13,MPV,24.99-41.99,新能源,33.49,1
阿维塔06,苏州,199,中型车,20.99-27.99,新能源,24.49,1
君越,哈尔滨,34,中型车,17.99-23.99,燃油车,20.99,0
银河E5,南昌,61,SUV,11.28-14.88,燃油车,13.08,0
途岳,承德,17,SUV,12.59-21.66,燃油车,17.125,0
宝马3系,十堰,16,中型车,29.99-39.99,燃油车,34.99,0
海鸥,鄂尔多斯,129,小型车,6.98-8.58,新能源,7.78,1
钛3,保定,22,SUV,13.38-19.38,燃油车,16.38,0
汉兰达,东莞,188,SUV,24.98-34.88,新能源,29.93,1
奥迪Q5L,大连,97,SUV,34.98-48.88,燃油车,41.93,0
长安启源Q07,济宁,50,SUV,12.98-17.18,燃油车,15.08,0
坦克300,临沂,21,SUV,19.98-33.00,燃油车,26.490000000000002,0
君威,德州,30,中型车,15.98-17.58,燃油车,16.78,0
理想L7,西宁,21,SUV,30.18-35.98,新能源,33.08,1
零跑C16,常州,26,SUV,15.18-18.98,新能源,17.08,1
哈弗H6,徐州,37,SUV,9.89-14.69,燃油车,12.29,0
红旗HS3 PHEV,兴安盟,13,SUV,15.98-15.98,新能源,15.98,1
奔驰S级,厦门,16,大型车,96.26-204.26,燃油车,150.26,0
五菱缤果,青岛,128,小型车,5.68-8.88,燃油车,7.28,0
轩逸,双鸭山,20,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
海鸥,大连,65,小型车,6.98-8.58,新能源,7.78,1
海狮05 EV,商丘,24,SUV,11.78-13.78,新能源,12.78,1
逸动,杭州,43,紧凑型车,7.29-9.69,燃油车,8.49,0
逍客,阳泉,13,SUV,12.59-17.49,燃油车,15.04,0
迈腾,长治,50,中型车,17.49-24.69,燃油车,21.09,0
皓影,长沙,144,SUV,18.59-26.39,燃油车,22.490000000000002,0
星愿,荆门,54,小型车,6.88-9.78,燃油车,8.33,0
捷达VS7,临沂,13,SUV,10.79-14.39,燃油车,12.59,0
威兰达,大庆,21,SUV,17.38-26.48,燃油车,21.93,0
五菱宏光S,鸡西,14,MPV,0.00-0.00,燃油车,0.0,0
秦PLUS,郴州,40,紧凑型车,7.98-17.98,新能源,12.98,1
威兰达,保山,22,SUV,17.38-26.48,燃油车,21.93,0
海豹07 DM-i,呼和浩特,13,中型车,13.98-19.58,新能源,16.78,1
T-ROC探歌,杭州,187,SUV,15.89-17.87,燃油车,16.880000000000003,0
宋PLUS新能源,东营,52,SUV,13.58-18.08,新能源,15.829999999999998,1
奔驰S级,杭州,18,大型车,96.26-204.26,燃油车,150.26,0
腾势N9,银川,21,SUV,38.98-44.98,新能源,41.98,1
海豹06GT,绵阳,25,中型车,13.68-18.68,新能源,16.18,1
零跑B10,蚌埠,12,SUV,9.98-14.98,新能源,12.48,1
理想L6,福州,158,SUV,24.98-27.98,新能源,26.48,1
阿维塔12,北京,43,中大型车,26.99-70.00,新能源,48.495,1
埃尔法,绍兴,27,MPV,89.90-92.90,燃油车,91.4,0
宝马X1,亳州,17,SUV,28.89-34.99,燃油车,31.94,0
坦克300新能源,鄂尔多斯,35,SUV,24.98-26.98,新能源,25.98,1
迈腾,上饶,15,中型车,17.49-24.69,燃油车,21.09,0
朗逸,安顺,55,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
坦克500新能源,拉萨,27,SUV,33.50-36.38,新能源,34.94,1
秦L,毕节,38,中型车,9.98-15.38,新能源,12.68,1
宝马3系,上海,669,中型车,29.99-39.99,燃油车,34.99,0
五菱缤果,石家庄,138,小型车,5.68-8.88,燃油车,7.28,0
理想L6,常德,19,SUV,24.98-27.98,新能源,26.48,1
风云T9,乌海,11,SUV,12.99-19.39,燃油车,16.19,0
秦PLUS,宁德,14,紧凑型车,7.98-17.98,新能源,12.98,1
缤越,喀什,151,SUV,6.68-10.38,燃油车,8.530000000000001,0
北京BJ30,秦皇岛,21,SUV,9.99-13.69,燃油车,11.84,0
秦L,马鞍山,42,中型车,9.98-15.38,新能源,12.68,1
帝豪,毕节,30,紧凑型车,6.29-14.98,燃油车,10.635,0
奔腾B70,昆明,15,中型车,9.88-14.49,燃油车,12.185,0
宝来,廊坊,25,紧凑型车,11.29-14.39,燃油车,12.84,0
魏牌 蓝山,郑州,154,SUV,27.38-32.68,燃油车,30.03,0
迈腾,通辽,54,中型车,17.49-24.69,燃油车,21.09,0
捷途X70,温州,46,SUV,10.69-14.99,燃油车,12.84,0
长安CS75 PLUS,郑州,124,SUV,11.39-14.99,燃油车,13.190000000000001,0
雷克萨斯RX,长沙,57,SUV,38.00-61.90,燃油车,49.95,0
理想L6,渭南,46,SUV,24.98-27.98,新能源,26.48,1
捷达VA3,眉山,14,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
坦克400新能源,宁波,31,SUV,27.98-28.98,新能源,28.48,1
宝马X5,张家口,14,SUV,61.50-83.00,燃油车,72.25,0
长安启源Q07,乐山,12,SUV,12.98-17.18,燃油车,15.08,0
型格,宁波,13,紧凑型车,12.99-18.69,燃油车,15.84,0
海鸥,平顶山,135,小型车,6.98-8.58,新能源,7.78,1
雷克萨斯ES,菏泽,18,中大型车,29.69-48.89,燃油车,39.29,0
宝马5系,大理,22,中大型车,43.99-52.59,燃油车,48.290000000000006,0
捷途X90,葫芦岛,11,SUV,13.99-17.29,燃油车,15.64,0
星越L,齐齐哈尔,59,SUV,13.72-17.97,燃油车,15.844999999999999,0
长安启源A05,喀什,33,紧凑型车,7.89-13.69,燃油车,10.79,0
奔驰GLC,舟山,14,SUV,42.78-53.13,燃油车,47.955,0
红旗H5,中山,61,中型车,15.98-22.58,燃油车,19.28,0
逸动,肇庆,30,紧凑型车,7.29-9.69,燃油车,8.49,0
逸动,四平,24,紧凑型车,7.29-9.69,燃油车,8.49,0
捷途自由者,营口,13,SUV,12.49-15.49,燃油车,13.99,0
朗逸,许昌,55,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
银河星舰7 EM-i,玉林,19,SUV,10.38-13.68,燃油车,12.030000000000001,0
长安UNI-V,周口,13,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
亚洲龙,宁波,156,中型车,17.88-27.98,燃油车,22.93,0
宝骏悦也Plus,济南,24,SUV,7.68-10.58,燃油车,9.129999999999999,0
本田CR-V,广州,324,SUV,18.59-26.39,燃油车,22.490000000000002,0
蒙迪欧,重庆,93,中型车,14.98-22.98,燃油车,18.98,0
问界M9,菏泽,32,SUV,46.98-56.98,新能源,51.98,1
欧萌达,保定,34,SUV,10.99-12.99,燃油车,11.99,0
荣威D6,邯郸,14,紧凑型车,9.98-13.98,燃油车,11.98,0
MG ES5,宁德,17,SUV,11.69-14.69,燃油车,13.19,0
哈弗猛龙新能源,长沙,33,SUV,16.58-19.28,新能源,17.93,1
英仕派,北京,21,中型车,18.28-22.98,燃油车,20.630000000000003,0
海狮05 EV,揭阳,16,SUV,11.78-13.78,新能源,12.78,1
起亚K3,盐城,20,紧凑型车,11.29-14.39,燃油车,12.84,0
深蓝S05,许昌,14,SUV,11.99-14.99,新能源,13.49,1
赛那SIENNA,南阳,45,MPV,29.98-41.18,燃油车,35.58,0
宝马iX3,郑州,27,SUV,40.50-44.50,燃油车,42.5,0
五菱荣光S,西安,37,MPV,4.09-4.76,燃油车,4.425,0
哈弗枭龙MAX,乌海,15,SUV,13.18-17.98,燃油车,15.58,0
红旗H5,江门,26,中型车,15.98-22.58,燃油车,19.28,0
宝马3系,济南,221,中型车,29.99-39.99,燃油车,34.99,0
捷达VA3,黔南,13,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
缤越,衡阳,15,SUV,6.68-10.38,燃油车,8.530000000000001,0
荣威D7,石家庄,27,中型车,12.38-21.98,燃油车,17.18,0
秦PLUS,和田,56,紧凑型车,7.98-17.98,新能源,12.98,1
宝马7系,南通,11,大型车,91.90-126.90,燃油车,109.4,0
欧拉好猫,安阳,11,小型车,10.58-13.58,燃油车,12.08,0
汉L,宜昌,16,中大型车,20.98-27.98,新能源,24.48,1
瑞虎5x,宜昌,20,SUV,5.99-9.99,燃油车,7.99,0
宋PLUS新能源,衢州,30,SUV,13.58-18.08,新能源,15.829999999999998,1
AION UT,无锡,69,小型车,6.98-10.18,新能源,8.58,1
元UP,莆田,27,SUV,9.68-11.98,新能源,10.83,1
T-ROC探歌,宜春,13,SUV,15.89-17.87,燃油车,16.880000000000003,0
五菱宏光S,南宁,37,MPV,0.00-0.00,燃油车,0.0,0
坦克500新能源,巴彦淖尔,22,SUV,33.50-36.38,新能源,34.94,1
领克06,拉萨,13,SUV,10.86-13.26,燃油车,12.059999999999999,0
速腾,襄阳,54,紧凑型车,12.79-17.29,燃油车,15.04,0
长安启源A05,天津,80,紧凑型车,7.89-13.69,燃油车,10.79,0
赛那SIENNA,濮阳,11,MPV,29.98-41.18,燃油车,35.58,0
海鸥,运城,113,小型车,6.98-8.58,新能源,7.78,1
宝来,临汾,83,紧凑型车,11.29-14.39,燃油车,12.84,0
海狮07 EV,惠州,13,SUV,18.98-23.98,新能源,21.48,1
思域,茂名,45,紧凑型车,12.99-18.79,燃油车,15.89,0
宝马X5,呼和浩特,24,SUV,61.50-83.00,燃油车,72.25,0
逸动,梧州,31,紧凑型车,7.29-9.69,燃油车,8.49,0
途观L,驻马店,32,SUV,18.68-26.68,燃油车,22.68,0
轩逸,临汾,111,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
钛3,宿州,13,SUV,13.38-19.38,燃油车,16.38,0
捷途山海T1,哈尔滨,15,SUV,13.49-17.99,燃油车,15.739999999999998,0
MG5,安阳,30,紧凑型车,6.79-9.99,燃油车,8.39,0
夏,温州,21,MPV,24.98-30.98,燃油车,27.98,0
奥迪Q3,临沂,38,SUV,25.18-29.68,燃油车,27.43,0
缤越,清远,11,SUV,6.68-10.38,燃油车,8.530000000000001,0
哈弗H6,拉萨,13,SUV,9.89-14.69,燃油车,12.29,0
海狮05 EV,兰州,16,SUV,11.78-13.78,新能源,12.78,1
哈弗二代大狗,南昌,12,SUV,13.58-15.68,燃油车,14.629999999999999,0
宋Pro新能源,兴安盟,37,SUV,10.28-14.28,新能源,12.28,1
探岳,雅安,12,SUV,19.89-25.99,燃油车,22.939999999999998,0
汉L,贵阳,36,中大型车,20.98-27.98,新能源,24.48,1
星瑞,安庆,35,紧凑型车,9.97-14.57,燃油车,12.27,0
探岳,毕节,29,SUV,19.89-25.99,燃油车,22.939999999999998,0
途岳,曲靖,41,SUV,12.59-21.66,燃油车,17.125,0
君越,常州,54,中型车,17.99-23.99,燃油车,20.99,0
锋兰达,永州,28,SUV,12.58-18.48,燃油车,15.530000000000001,0
缤越,恩施,16,SUV,6.68-10.38,燃油车,8.530000000000001,0
奇瑞iCAR V23,保定,15,SUV,9.98-14.98,燃油车,12.48,0
领克03,南阳,23,紧凑型车,12.78-42.03,燃油车,27.405,0
捷达VS5,菏泽,19,SUV,8.79-12.19,燃油车,10.489999999999998,0
宋Pro新能源,承德,20,SUV,10.28-14.28,新能源,12.28,1
卡罗拉锐放,石家庄,57,SUV,12.98-18.48,燃油车,15.73,0
汉,大同,12,中大型车,16.58-25.98,新能源,21.28,1
问界M9,阜阳,54,SUV,46.98-56.98,新能源,51.98,1
探岳,六安,38,SUV,19.89-25.99,燃油车,22.939999999999998,0
迈腾,蚌埠,36,中型车,17.49-24.69,燃油车,21.09,0
赛那SIENNA,杭州,104,MPV,29.98-41.18,燃油车,35.58,0
大众ID.3,泰州,11,紧凑型车,12.99-15.59,燃油车,14.29,0
海豹07 DM-i,长沙,68,中型车,13.98-19.58,新能源,16.78,1
蒙迪欧,驻马店,12,中型车,14.98-22.98,燃油车,18.98,0
途岳,六盘水,31,SUV,12.59-21.66,燃油车,17.125,0
五菱宏光新能源,盐城,20,MPV,6.88-7.38,新能源,7.13,1
元UP,南充,18,SUV,9.68-11.98,新能源,10.83,1
威兰达,丽水,12,SUV,17.38-26.48,燃油车,21.93,0
星瑞,嘉兴,102,紧凑型车,9.97-14.57,燃油车,12.27,0
北京BJ30,沈阳,48,SUV,9.99-13.69,燃油车,11.84,0
零跑B10,烟台,22,SUV,9.98-14.98,新能源,12.48,1
零跑C16,吉安,12,SUV,15.18-18.98,新能源,17.08,1
沃尔沃XC60,泉州,39,SUV,39.69-47.49,燃油车,43.59,0
RAV4荣放,许昌,24,SUV,16.98-26.38,燃油车,21.68,0
昂科威Plus,郑州,141,SUV,22.99-25.99,燃油车,24.49,0
海狮05 DM-i,许昌,15,SUV,10.28-14.28,新能源,12.28,1
本田CR-V,朔州,16,SUV,18.59-26.39,燃油车,22.490000000000002,0
T-ROC探歌,武汉,70,SUV,15.89-17.87,燃油车,16.880000000000003,0
朗逸,庆阳,18,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
银河星耀8,连云港,17,中大型车,12.58-16.58,燃油车,14.579999999999998,0
元UP,开封,30,SUV,9.68-11.98,新能源,10.83,1
威兰达,南昌,91,SUV,17.38-26.48,燃油车,21.93,0
高尔夫GTI,杭州,24,紧凑型车,20.99-22.98,燃油车,21.985,0
哈弗H6,黄石,23,SUV,9.89-14.69,燃油车,12.29,0
海狮07 EV,泉州,20,SUV,18.98-23.98,新能源,21.48,1
问界M9,湛江,24,SUV,46.98-56.98,新能源,51.98,1
宋Pro新能源,连云港,21,SUV,10.28-14.28,新能源,12.28,1
速腾,日照,52,紧凑型车,12.79-17.29,燃油车,15.04,0
红旗E-QM5,重庆,19,中型车,12.18-23.98,燃油车,18.08,0
汉兰达,长沙,139,SUV,24.98-34.88,新能源,29.93,1
理想L7,保定,74,SUV,30.18-35.98,新能源,33.08,1
领克900,泸州,14,SUV,30.99-41.69,燃油车,36.339999999999996,0
蒙迪欧,贵阳,46,中型车,14.98-22.98,燃油车,18.98,0
哈弗H6,鹤壁,12,SUV,9.89-14.69,燃油车,12.29,0
皓影,大连,40,SUV,18.59-26.39,燃油车,22.490000000000002,0
海豚,芜湖,55,小型车,9.98-12.98,新能源,11.48,1
蔚来ES6,绍兴,77,SUV,33.80-39.60,新能源,36.7,1
探险者,呼和浩特,11,SUV,30.98-39.98,燃油车,35.48,0
宝马X1,邢台,19,SUV,28.89-34.99,燃油车,31.94,0
AION V,杭州,14,SUV,12.98-19.36,新能源,16.17,1
皇冠陆放,中山,33,SUV,27.78-35.28,燃油车,31.53,0
长安CS75 PLUS,大理,27,SUV,11.39-14.99,燃油车,13.190000000000001,0
蔚来ET5T,重庆,36,中型车,29.80-35.60,新能源,32.7,1
帕萨特,海口,24,中型车,16.45-23.99,燃油车,20.22,0
极氪001,长沙,41,中大型车,25.90-32.90,新能源,29.4,1
奔驰GLC新能源,西安,15,SUV,51.80-51.80,新能源,51.8,1
宝马X5,惠州,32,SUV,61.50-83.00,燃油车,72.25,0
小鹏G6,东莞,83,SUV,17.68-27.69,新能源,22.685000000000002,1
阿维塔12,金华,19,中大型车,26.99-70.00,新能源,48.495,1
极狐 阿尔法S5,临沂,25,中型车,12.78-18.48,燃油车,15.629999999999999,0
探岳,盐城,27,SUV,19.89-25.99,燃油车,22.939999999999998,0
宝马5系,益阳,13,中大型车,43.99-52.59,燃油车,48.290000000000006,0
钛3,青岛,54,SUV,13.38-19.38,燃油车,16.38,0
长安启源Q05,呼和浩特,28,SUV,9.69-12.79,燃油车,11.239999999999998,0
宝马5系,兰州,49,中大型车,43.99-52.59,燃油车,48.290000000000006,0
问界M9,榆林,30,SUV,46.98-56.98,新能源,51.98,1
雷克萨斯NX,无锡,48,SUV,31.88-54.88,燃油车,43.38,0
海鸥,抚州,63,小型车,6.98-8.58,新能源,7.78,1
宝马7系,上海,27,大型车,91.90-126.90,燃油车,109.4,0
银河L6,宝鸡,21,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
星越L,汕头,67,SUV,13.72-17.97,燃油车,15.844999999999999,0
轩逸,张家界,33,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
捷途山海L9,深圳,12,SUV,16.49-24.29,燃油车,20.39,0
元PLUS,南通,106,SUV,11.58-14.78,新能源,13.18,1
途胜,长沙,22,SUV,15.98-22.58,燃油车,19.28,0
红旗H5,萍乡,16,中型车,15.98-22.58,燃油车,19.28,0
小鹏G9,沈阳,11,SUV,24.88-35.99,新能源,30.435000000000002,1
途观L,嘉兴,116,SUV,18.68-26.68,燃油车,22.68,0
途观L,常州,87,SUV,18.68-26.68,燃油车,22.68,0
海豚,安顺,14,小型车,9.98-12.98,新能源,11.48,1
212 T01,成都,22,SUV,13.99-18.88,燃油车,16.435,0
知豆彩虹,菏泽,19,微型车,3.19-6.09,燃油车,4.64,0
AION RT,郑州,51,紧凑型车,11.98-16.58,新能源,14.28,1
海豹06GT,常德,13,中型车,13.68-18.68,新能源,16.18,1
天籁,福州,23,中型车,17.98-23.98,燃油车,20.98,0
秦PLUS,包头,85,紧凑型车,7.98-17.98,新能源,12.98,1
领克03,郑州,66,紧凑型车,12.78-42.03,燃油车,27.405,0
捷途X90,玉溪,12,SUV,13.99-17.29,燃油车,15.64,0
迈腾,荆门,24,中型车,17.49-24.69,燃油车,21.09,0
铂智3X,吉安,11,SUV,10.98-15.98,燃油车,13.48,0
轩逸,宜昌,48,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
风云T8,武汉,11,SUV,10.39-15.09,燃油车,12.74,0
深蓝SL03,合肥,13,中型车,11.99-20.99,新能源,16.49,1
奥迪Q5L,宜宾,32,SUV,34.98-48.88,燃油车,41.93,0
腾势D9,柳州,12,MPV,33.98-66.00,新能源,49.989999999999995,1
别克GL8,徐州,56,MPV,23.29-47.39,燃油车,35.34,0
银河E8,徐州,20,中大型车,15.38-22.88,燃油车,19.13,0
赛那SIENNA,太原,257,MPV,29.98-41.18,燃油车,35.58,0
瑞虎5x,大庆,20,SUV,5.99-9.99,燃油车,7.99,0
哈弗H6,杭州,31,SUV,9.89-14.69,燃油车,12.29,0
亚洲龙,东莞,573,中型车,17.88-27.98,燃油车,22.93,0
五菱宏光S,茂名,15,MPV,0.00-0.00,燃油车,0.0,0
长安UNI-Z新能源,江门,13,SUV,11.79-13.39,新能源,12.59,1
本田CR-V,锡林郭勒,11,SUV,18.59-26.39,燃油车,22.490000000000002,0
星越L,上饶,44,SUV,13.72-17.97,燃油车,15.844999999999999,0
AION Y,温州,66,SUV,9.98-14.58,新能源,12.280000000000001,1
秦L,淮南,27,中型车,9.98-15.38,新能源,12.68,1
海豹06新能源,宜宾,55,中型车,9.98-13.98,新能源,11.98,1
皓影,萍乡,12,SUV,18.59-26.39,燃油车,22.490000000000002,0
探岳,潍坊,114,SUV,19.89-25.99,燃油车,22.939999999999998,0
逍客,绵阳,21,SUV,12.59-17.49,燃油车,15.04,0
坦克300,阿勒泰,20,SUV,19.98-33.00,燃油车,26.490000000000002,0
海豹06新能源,滨州,46,中型车,9.98-13.98,新能源,11.98,1
迈腾,毕节,23,中型车,17.49-24.69,燃油车,21.09,0
熊猫,渭南,25,微型车,2.99-5.39,燃油车,4.1899999999999995,0
海狮05 EV,南通,75,SUV,11.78-13.78,新能源,12.78,1
奥迪A6L,衡阳,15,中大型车,42.79-65.68,燃油车,54.235,0
沃尔沃XC60,长治,11,SUV,39.69-47.49,燃油车,43.59,0
唐L,商丘,18,SUV,22.98-28.98,新能源,25.98,1
小海狮X30,吕梁,11,MPV,3.49-5.19,燃油车,4.34,0
AION S,赤峰,16,紧凑型车,13.98-17.98,新能源,15.98,1
沃尔沃S90,苏州,41,中大型车,40.69-50.59,燃油车,45.64,0
红旗H5,周口,89,中型车,15.98-22.58,燃油车,19.28,0
元PLUS,常德,35,SUV,11.58-14.78,新能源,13.18,1
帝豪,邯郸,49,紧凑型车,6.29-14.98,燃油车,10.635,0
欧萌达,沈阳,29,SUV,10.99-12.99,燃油车,11.99,0
威兰达,茂名,75,SUV,17.38-26.48,燃油车,21.93,0
北京BJ30,赤峰,50,SUV,9.99-13.69,燃油车,11.84,0
捷途大圣,太原,11,SUV,9.39-13.68,燃油车,11.535,0
天籁,湘潭,13,中型车,17.98-23.98,燃油车,20.98,0
领克06,太原,18,SUV,10.86-13.26,燃油车,12.059999999999999,0
小蚂蚁,焦作,19,微型车,5.49-7.69,燃油车,6.59,0
长安启源A07,眉山,13,中大型车,11.99-17.69,燃油车,14.84,0
途昂,周口,11,SUV,24.90-38.90,燃油车,31.9,0
小鹏P7+,武汉,214,中大型车,18.68-20.88,新能源,19.78,1
易至EV3,郑州,17,微型车,5.28-6.68,新能源,5.98,1
宝马X1,无锡,65,SUV,28.89-34.99,燃油车,31.94,0
奇瑞iCAR V23,聊城,14,SUV,9.98-14.98,燃油车,12.48,0
海豚,廊坊,99,小型车,9.98-12.98,新能源,11.48,1
银河E8,西安,25,中大型车,15.38-22.88,燃油车,19.13,0
红旗H6,南通,12,中型车,17.98-23.98,燃油车,20.98,0
红旗HS5,通辽,13,SUV,18.38-24.98,燃油车,21.68,0
天籁,贵阳,26,中型车,17.98-23.98,燃油车,20.98,0
阿维塔06,南宁,78,中型车,20.99-27.99,新能源,24.49,1
Panamera,长春,12,大型车,99.80-247.60,燃油车,173.7,0
长安欧尚X5 PLUS,丹东,29,SUV,9.19-11.49,燃油车,10.34,0
知豆彩虹,平顶山,15,微型车,3.19-6.09,燃油车,4.64,0
宝来,大连,51,紧凑型车,11.29-14.39,燃油车,12.84,0
奔驰GLC轿跑,北京,31,SUV,48.95-56.60,燃油车,52.775000000000006,0
银河星耀8,沧州,31,中大型车,12.58-16.58,燃油车,14.579999999999998,0
新海狮X30L,昆明,28,MPV,4.79-5.99,燃油车,5.390000000000001,0
别克GL8新能源,乌鲁木齐,28,MPV,24.99-41.99,新能源,33.49,1
小鹏G6,温州,77,SUV,17.68-27.69,新能源,22.685000000000002,1
智界R7,厦门,45,SUV,24.98-33.98,新能源,29.479999999999997,1
汉,焦作,16,中大型车,16.58-25.98,新能源,21.28,1
MG ES5,苏州,19,SUV,11.69-14.69,燃油车,13.19,0
风云A8,合肥,33,紧凑型车,7.99-14.99,燃油车,11.49,0
极氪007GT,乌鲁木齐,17,中型车,20.29-26.29,新能源,23.29,1
红旗H5,张家口,13,中型车,15.98-22.58,燃油车,19.28,0
MG5,庆阳,25,紧凑型车,6.79-9.99,燃油车,8.39,0
朗逸,上饶,38,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
零跑C16,唐山,19,SUV,15.18-18.98,新能源,17.08,1
腾势N9,哈尔滨,34,SUV,38.98-44.98,新能源,41.98,1
途观L,盘锦,13,SUV,18.68-26.68,燃油车,22.68,0
瑞虎8 PLUS,南京,18,SUV,10.99-16.29,燃油车,13.64,0
雷克萨斯ES,郑州,173,中大型车,29.69-48.89,燃油车,39.29,0
汉兰达,威海,14,SUV,24.98-34.88,新能源,29.93,1
亚洲龙,重庆,59,中型车,17.88-27.98,燃油车,22.93,0
小海狮X30,武汉,26,MPV,3.49-5.19,燃油车,4.34,0
海豹06新能源,安顺,16,中型车,9.98-13.98,新能源,11.98,1
瑞虎8 PRO,丽水,13,SUV,11.99-16.69,燃油车,14.34,0
零跑C10,大庆,20,SUV,12.28-16.88,新能源,14.579999999999998,1
奇瑞iCAR V23,南京,25,SUV,9.98-14.98,燃油车,12.48,0
秦L,肇庆,53,中型车,9.98-15.38,新能源,12.68,1
探岳,曲靖,38,SUV,19.89-25.99,燃油车,22.939999999999998,0
深蓝S05,临汾,28,SUV,11.99-14.99,新能源,13.49,1
RAV4荣放,锦州,30,SUV,16.98-26.38,燃油车,21.68,0
奥迪A4L,南阳,19,中型车,28.98-40.08,燃油车,34.53,0
汉,镇江,14,中大型车,16.58-25.98,新能源,21.28,1
奥迪Q3,邢台,11,SUV,25.18-29.68,燃油车,27.43,0
五菱荣光,南通,11,MPV,5.09-5.76,燃油车,5.425,0
长安启源A05,青岛,19,紧凑型车,7.89-13.69,燃油车,10.79,0
凯迪拉克CT5,济宁,27,中型车,28.99-34.59,燃油车,31.79,0
小米SU7 Ultra,泉州,11,中大型车,52.99-81.49,新能源,67.24,1
传祺M8,嘉兴,29,MPV,17.98-34.28,燃油车,26.130000000000003,0
领克06,银川,41,SUV,10.86-13.26,燃油车,12.059999999999999,0
朗逸,泉州,195,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
深蓝L07,广州,68,中型车,15.19-17.39,新能源,16.29,1
坦克300,杭州,57,SUV,19.98-33.00,燃油车,26.490000000000002,0
传祺M6,无锡,18,MPV,11.98-15.98,燃油车,13.98,0
零跑B10,漳州,34,SUV,9.98-14.98,新能源,12.48,1
风云T8,德州,15,SUV,10.39-15.09,燃油车,12.74,0
银河L7,呼和浩特,42,SUV,11.58-16.97,燃油车,14.274999999999999,0
途昂,张家口,20,SUV,24.90-38.90,燃油车,31.9,0
缤越,常德,15,SUV,6.68-10.38,燃油车,8.530000000000001,0
瑞虎7 PLUS,遵义,11,SUV,9.19-15.39,燃油车,12.29,0
博越L,大理,15,SUV,9.99-14.97,燃油车,12.48,0
奔腾小马,九江,34,微型车,2.49-5.39,燃油车,3.94,0
Model Y,宜宾,31,SUV,26.35-31.35,新能源,28.85,1
RAV4荣放,楚雄,20,SUV,16.98-26.38,燃油车,21.68,0
宝马5系(进口),武汉,11,中大型车,43.99-52.59,燃油车,48.290000000000006,0
五菱缤果,怀化,15,小型车,5.68-8.88,燃油车,7.28,0
银河L7,连云港,11,SUV,11.58-16.97,燃油车,14.274999999999999,0
捷途旅行者,荆州,12,SUV,13.99-23.99,燃油车,18.99,0
RAV4荣放,吉林,32,SUV,16.98-26.38,燃油车,21.68,0
凯美瑞,营口,26,中型车,17.18-25.98,燃油车,21.58,0
AION UT,青岛,29,小型车,6.98-10.18,新能源,8.58,1
途岳,张家口,14,SUV,12.59-21.66,燃油车,17.125,0
长安启源Q07,郴州,11,SUV,12.98-17.18,燃油车,15.08,0
